trade_date,close,open,high,low,vol,pct_chg
20130204,3734.15,3774.37,3785.92,3688.08,,-1.01
20130205,3854.88,3720.91,3873.51,3705.8,9.23K,3.23
20130206,3805.94,3854.59,3857.34,3795.71,5.46K,-1.27
20130207,3800.17,3801.15,3806.92,3764.64,4.81K,-0.15
20130208,3826.38,3795.4,3846.64,3795.4,4.44K,0.69
20130301,3739.16,3747.29,3760.79,3695.5,4.72K,-0.22
20130311,3444.68,3418.15,3462.83,3401.1,3.52K,0.61
20130312,3434.98,3443.55,3506.13,3395.87,4.92K,-0.28
20130313,3372.93,3425.66,3425.66,3345.37,3.69K,-1.81
20130314,3371.04,3362.34,3393.42,3355.39,2.68K,-0.06
20130315,3318.13,3367.37,3394.2,3291.62,4.30K,-1.57
20130318,3319.84,3312.1,3350.91,3302.83,3.13K,0.05
20130319,3409.74,3325.73,3410.34,3320.89,4.57K,2.71
20130320,3486.43,3407.76,3492.99,3398.61,5.57K,2.25
20130321,3465.18,3486.17,3492.73,3439.49,4.78K,-0.61
20130322,3499.55,3463.74,3506.35,3459.89,4.55K,0.99
20130325,3511.87,3501.93,3531.99,3490.73,3.80K,0.35
20130326,3496.89,3497.63,3567.83,3483.01,4.95K,-0.43
20130327,3508.42,3491.69,3546.25,3486.89,3.83K,0.33
20130328,3397.61,3477.36,3477.36,3393.03,4.84K,-3.16
20130329,3375.73,3405.35,3410.6,3370.37,3.05K,-0.64
20130304,3416.68,3538.01,3538.01,3406.7,11.13K,-8.62
20130305,3433.22,3376.55,3438.89,3334.24,7.28K,0.48
20130306,3440.97,3437.78,3472.47,3430.34,5.99K,0.23
20130307,3465.74,3433.93,3501.71,3404.51,5.59K,0.72
20130308,3423.77,3471.31,3478.57,3419.98,3.76K,-1.21
20130401,3436.97,3382.99,3479.43,3382.99,4.26K,1.81
20130410,3472.28,3472.72,3494.15,3446.18,3.51K,0.28
20130411,3465.18,3494.47,3505.43,3459.99,3.23K,-0.2
20130412,3459.32,3458.74,3483.34,3449.26,3.09K,-0.17
20130415,3460.41,3455.32,3495.27,3418.23,3.59K,0.03
20130416,3562.86,3433.46,3562.86,3427.73,5.77K,2.96
20130417,3568.09,3560.89,3594.12,3526.52,4.34K,0.15
20130418,3577.56,3547.25,3614.44,3536.66,3.31K,0.27
20130419,3627.55,3588.05,3633.66,3578.06,5.35K,1.4
20130402,3492.5,3446.26,3525.13,3442.16,4.63K,1.62
20130422,3577.76,3609.26,3620.47,3545.24,4.57K,-1.37
20130423,3464.27,3571.94,3571.94,3455.18,4.89K,-3.17
