trade_date,close,open,high,low,vol,pct_chg
20160104,3296.26,3536.59,3538.69,3295.74,18.44B,-6.86
20160105,3287.71,3196.65,3328.14,3189.6,26.69B,-0.26
20160106,3361.84,3291.19,3362.97,3288.93,23.89B,2.25
20160107,3125.0,3309.66,3309.66,3115.89,7.06B,-7.04
20160108,3186.41,3194.63,3235.45,3056.88,28.64B,1.97
20161010,3048.14,3020.46,3048.24,3014.62,16.01B,1.45
20161011,3065.25,3051.62,3066.1,3048.02,16.73B,0.56
20161012,3058.5,3057.32,3060.51,3048.89,14.25B,-0.22
20161013,3061.35,3057.97,3065.0,3052.64,15.48B,0.09
20161014,3063.81,3056.99,3064.79,3043.18,15.54B,0.08
20161017,3041.17,3064.69,3068.81,3033.75,16.37B,-0.74
20161018,3083.88,3037.4,3084.19,3037.4,18.20B,1.4
20161019,3084.72,3085.75,3096.22,3076.77,18.25B,0.03
20161020,3084.46,3084.91,3089.68,3076.29,16.07B,-0.01
20161021,3090.94,3081.39,3101.85,3069.27,18.74B,0.21
20161024,3128.25,3092.05,3137.03,3090.79,24.05B,1.21
20161025,3131.94,3127.97,3132.5,3121.05,20.34B,0.12
20161026,3116.31,3129.84,3129.84,3110.39,19.17B,-0.5
20161027,3112.35,3112.6,3114.76,3100.39,15.80B,-0.13
20161028,3104.27,3111.7,3128.64,3101.24,18.18B,-0.26
20161031,3100.49,3097.19,3102.3,3081.07,15.15B,-0.12
20161101,3122.44,3101.66,3122.61,3097.04,16.02B,0.71
20161110,3171.28,3148.54,3172.31,3148.54,24.42B,1.37
20161111,3196.04,3169.4,3202.74,3166.07,31.09B,0.78
20161114,3210.37,3187.71,3221.46,3186.8,32.96B,0.45
20161115,3206.99,3209.95,3214.29,3195.04,24.09B,-0.11
20161116,3205.06,3208.5,3210.89,3195.41,22.18B,-0.06
20161117,3208.45,3198.5,3211.05,3187.21,21.42B,0.11
20161118,3192.86,3207.19,3212.39,3187.5,20.98B,-0.49
20161102,3102.73,3115.73,3118.98,3099.82,18.27B,-0.63
20161121,3218.15,3188.5,3229.76,3188.28,23.07B,0.79
20161122,3248.35,3220.98,3249.68,3220.98,26.16B,0.94
20161123,3241.14,3247.94,3262.88,3231.59,25.00B,-0.22
20161124,3241.74,3237.43,3257.86,3232.87,23.23B,0.02
20161125,3261.94,3241.24,3262.44,3209.6,23.39B,0.62
